file_path,Label
Data/train\176\03_01_0176_(21_10_17_15_42_38)_c.mp4,يشوي
Data/train\175\03_02_0175_(01_05_17_16_05_54)_c.mp4,يكره
Data/train\174\03_03_0174_(19_04_17_16_33_32)_c.mp4,يحب
Data/train\184\03_02_0184_(16_11_17_01_23_00)_c.mp4,يدعم
Data/train\176\03_01_0176_(13_09_17_14_04_52)_c.mp4,يشوي
Data/train\178\03_01_0178_(21_10_17_15_48_30)_c.mp4,يزرع
Data/train\180\03_01_0180_(13_09_17_14_14_34)_c.mp4,يحصد
Data/train\186\03_03_0186_(25_04_17_18_08_21)_c.mp4,ينادي
Data/train\184\03_03_0184_(18_12_17_15_22_48)_c.mp4,يدعم
Data/train\187\03_03_0187_(25_04_17_18_12_12)_c.mp4,يتنامى
Data/train\175\03_01_0175_(13_09_17_14_03_30)_c.mp4,يكره
Data/train\176\03_03_0176_(19_04_17_16_35_10)_c.mp4,يشوي
Data/train\176\03_01_0176_(13_09_17_14_04_58)_c.mp4,يشوي
Data/train\174\03_03_0174_(18_04_17_17_38_40)_c.mp4,يحب
Data/train\171\03_01_0171_(21_10_17_15_30_32)_c.mp4,يبني
Data/train\175\03_01_0175_(21_10_17_15_41_29)_c.mp4,يكره
Data/train\178\03_01_0178_(21_10_17_15_46_53)_c.mp4,يزرع
Data/train\178\03_03_0178_(18_04_17_17_52_30)_c.mp4,يزرع
Data/train\178\03_01_0178_(13_09_17_14_09_11)_c.mp4,يزرع
Data/train\171\03_02_0171_(16_11_17_00_55_33)_c.mp4,يبني
Data/train\173\03_02_0173_(01_05_17_15_59_58)_c.mp4,يمشي
Data/train\186\03_01_0186_(13_09_17_14_34_53)_c.mp4,ينادي
Data/train\175\03_02_0175_(01_05_17_16_06_36)_c.mp4,يكره
Data/train\177\03_02_0177_(16_11_17_01_07_41)_c.mp4,يحرث
Data/train\181\03_02_0181_(25_05_17_17_39_18)_c.mp4,يفكر
Data/train\190\03_03_0190_(01_05_17_16_57_59)_c.mp4,يستحم
Data/train\178\03_03_0178_(18_04_17_17_54_53)_c.mp4,يزرع
Data/train\177\03_01_0177_(21_10_17_15_44_28)_c.mp4,يحرث
Data/train\174\03_02_0174_(16_11_17_01_01_14)_c.mp4,يحب
Data/train\183\03_03_0183_(18_12_17_15_20_50)_c.mp4,يدخن
Data/train\172\03_03_0172_(19_04_17_16_29_23)_c.mp4,يكسر
Data/train\183\03_03_0183_(25_04_17_17_59_07)_c.mp4,يدخن
Data/train\176\03_03_0176_(19_04_17_16_34_09)_c.mp4,يشوي
Data/train\188\03_03_0188_(25_04_17_18_42_11)_c.mp4,يصبغ
Data/train\171\03_02_0171_(01_05_17_15_53_42)_c.mp4,يبني
Data/train\180\03_02_0180_(16_11_17_01_13_21)_c.mp4,يحصد
Data/train\185\03_02_0185_(25_05_17_17_47_35)_c.mp4,يختار
Data/train\180\03_03_0180_(18_04_17_18_03_00)_c.mp4,يحصد
Data/train\182\03_03_0182_(25_04_17_17_57_01)_c.mp4,يساعد
Data/train\178\03_03_0178_(19_04_17_16_41_01)_c.mp4,يزرع
Data/train\189\03_03_0189_(01_05_17_16_55_27)_c.mp4,يقف
Data/train\188\03_01_0188_(13_09_17_14_40_52)_c.mp4,يصبغ
Data/train\177\03_01_0177_(21_10_17_15_43_52)_c.mp4,يحرث
Data/train\186\03_02_0186_(16_11_17_01_27_25)_c.mp4,ينادي
Data/train\175\03_02_0175_(16_11_17_01_03_54)_c.mp4,يكره
Data/train\187\03_02_0187_(16_11_17_01_29_40)_c.mp4,يتنامى
Data/train\175\03_02_0175_(01_05_17_16_06_11)_c.mp4,يكره
Data/train\171\03_01_0171_(21_10_17_15_30_51)_c.mp4,يبني
Data/train\188\03_01_0188_(13_09_17_14_40_07)_c.mp4,يصبغ
Data/train\186\03_03_0186_(18_12_17_15_27_00)_c.mp4,ينادي
Data/train\184\03_01_0184_(21_10_17_15_58_28)_c.mp4,يدعم
Data/train\174\03_01_0174_(21_10_17_15_38_59)_c.mp4,يحب
Data/train\180\03_01_0180_(13_09_17_14_14_30)_c.mp4,يحصد
Data/train\185\03_01_0185_(21_10_17_16_00_33)_c.mp4,يختار
Data/train\173\03_03_0173_(18_04_17_17_37_23)_c.mp4,يمشي
Data/train\186\03_01_0186_(21_10_17_16_02_13)_c.mp4,ينادي
Data/train\172\03_01_0172_(13_09_17_13_55_56)_c.mp4,يكسر
Data/train\180\03_02_0180_(16_11_17_01_13_17)_c.mp4,يحصد
Data/train\184\03_03_0184_(18_12_17_15_22_46)_c.mp4,يدعم
Data/train\185\03_03_0185_(25_04_17_18_06_39)_c.mp4,يختار
Data/train\171\03_03_0171_(18_04_17_17_31_34)_c.mp4,يبني
Data/train\178\03_02_0178_(01_05_17_16_15_24)_c.mp4,يزرع
Data/train\180\03_01_0180_(21_10_17_15_51_39)_c.mp4,يحصد
Data/train\176\03_01_0176_(13_09_17_14_05_38)_c.mp4,يشوي
Data/train\190\03_03_0190_(18_12_17_15_35_27)_c.mp4,يستحم
Data/train\185\03_01_0185_(21_10_17_16_00_43)_c.mp4,يختار
Data/train\180\03_02_0180_(16_11_17_01_13_44)_c.mp4,يحصد
Data/train\185\03_01_0185_(21_10_17_16_00_26)_c.mp4,يختار
Data/train\187\03_01_0187_(13_09_17_14_38_29)_c.mp4,يتنامى
Data/train\172\03_01_0172_(21_10_17_15_33_30)_c.mp4,يكسر
Data/train\181\03_02_0181_(16_11_17_01_16_00)_c.mp4,يفكر
Data/train\179\03_02_0179_(01_05_17_16_17_33)_c.mp4,يسقي
Data/train\178\03_02_0178_(16_11_17_01_09_13)_c.mp4,يزرع
Data/train\183\03_02_0183_(25_05_17_17_44_48)_c.mp4,يدخن
Data/train\181\03_02_0181_(25_05_17_17_39_37)_c.mp4,يفكر
Data/train\188\03_02_0188_(25_05_17_17_57_03)_c.mp4,يصبغ
Data/train\187\03_01_0187_(13_09_17_14_38_42)_c.mp4,يتنامى
Data/train\183\03_01_0183_(13_09_17_14_21_36)_c.mp4,يدخن
Data/train\171\03_01_0171_(21_10_17_15_30_43)_c.mp4,يبني
Data/train\190\03_01_0190_(21_10_17_16_12_37)_c.mp4,يستحم
Data/train\180\03_01_0180_(21_10_17_15_51_56)_c.mp4,يحصد
Data/train\179\03_02_0179_(01_05_17_16_19_06)_c.mp4,يسقي
Data/train\183\03_01_0183_(13_09_17_14_22_10)_c.mp4,يدخن
Data/train\188\03_03_0188_(25_04_17_18_42_31)_c.mp4,يصبغ
Data/train\171\03_01_0171_(21_10_17_15_30_22)_c.mp4,يبني
Data/train\180\03_01_0180_(13_09_17_14_13_55)_c.mp4,يحصد
Data/train\175\03_02_0175_(01_05_17_16_05_44)_c.mp4,يكره
Data/train\179\03_01_0179_(21_10_17_15_49_24)_c.mp4,يسقي
Data/train\174\03_03_0174_(18_04_17_17_38_26)_c.mp4,يحب
Data/train\177\03_01_0177_(13_09_17_14_07_20)_c.mp4,يحرث
Data/train\188\03_03_0188_(18_12_17_15_30_37)_c.mp4,يصبغ
Data/train\183\03_03_0183_(25_04_17_17_59_26)_c.mp4,يدخن
Data/train\177\03_01_0177_(21_10_17_15_44_26)_c.mp4,يحرث
Data/train\190\03_01_0190_(13_09_17_14_43_35)_c.mp4,يستحم
Data/train\188\03_03_0188_(18_12_17_15_30_58)_c.mp4,يصبغ
Data/train\173\03_03_0173_(19_04_17_16_30_58)_c.mp4,يمشي
Data/train\174\03_01_0174_(13_09_17_14_01_56)_c.mp4,يحب
Data/train\171\03_02_0171_(16_11_17_00_55_02)_c.mp4,يبني
Data/train\190\03_02_0190_(25_05_17_18_03_34)_c.mp4,يستحم
Data/train\190\03_02_0190_(16_11_17_01_33_43)_c.mp4,يستحم
Data/train\186\03_01_0186_(13_09_17_14_35_20)_c.mp4,ينادي
Data/train\185\03_01_0185_(13_09_17_14_27_23)_c.mp4,يختار
Data/train\180\03_03_0180_(19_04_17_16_47_01)_c.mp4,يحصد
Data/train\185\03_03_0185_(25_04_17_18_06_34)_c.mp4,يختار
Data/train\184\03_01_0184_(13_09_17_14_24_59)_c.mp4,يدعم
Data/train\171\03_02_0171_(16_11_17_00_54_20)_c.mp4,يبني
Data/train\182\03_02_0182_(25_05_17_17_42_19)_c.mp4,يساعد
Data/train\171\03_02_0171_(01_05_17_15_53_16)_c.mp4,يبني
Data/train\173\03_03_0173_(18_04_17_17_37_37)_c.mp4,يمشي
Data/train\187\03_03_0187_(18_12_17_15_29_05)_c.mp4,يتنامى
Data/train\182\03_03_0182_(25_04_17_17_57_38)_c.mp4,يساعد
Data/train\190\03_02_0190_(16_11_17_01_34_28)_c.mp4,يستحم
Data/train\172\03_01_0172_(13_09_17_13_55_13)_c.mp4,يكسر
Data/train\184\03_03_0184_(18_12_17_15_22_35)_c.mp4,يدعم
Data/train\183\03_03_0183_(18_12_17_15_20_28)_c.mp4,يدخن
Data/train\185\03_02_0185_(16_11_17_01_25_59)_c.mp4,يختار
Data/train\178\03_02_0178_(01_05_17_16_14_08)_c.mp4,يزرع
Data/train\183\03_01_0183_(13_09_17_14_21_55)_c.mp4,يدخن
Data/train\178\03_02_0178_(16_11_17_01_10_20)_c.mp4,يزرع
Data/train\173\03_01_0173_(21_10_17_15_38_19)_c.mp4,يمشي
Data/train\188\03_01_0188_(13_09_17_14_40_45)_c.mp4,يصبغ
Data/train\179\03_01_0179_(21_10_17_15_50_44)_c.mp4,يسقي
Data/train\173\03_01_0173_(13_09_17_13_58_50)_c.mp4,يمشي
Data/train\178\03_03_0178_(19_04_17_16_39_53)_c.mp4,يزرع
Data/train\189\03_03_0189_(01_05_17_16_54_21)_c.mp4,يقف
Data/train\173\03_03_0173_(19_04_17_16_31_21)_c.mp4,يمشي
Data/train\182\03_01_0182_(21_10_17_15_54_49)_c.mp4,يساعد
Data/train\187\03_01_0187_(21_10_17_16_07_25)_c.mp4,يتنامى
Data/train\176\03_03_0176_(19_04_17_16_34_26)_c.mp4,يشوي
Data/train\185\03_03_0185_(18_12_17_15_25_29)_c.mp4,يختار
Data/train\190\03_01_0190_(13_09_17_14_44_24)_c.mp4,يستحم
Data/train\183\03_02_0183_(25_05_17_17_44_39)_c.mp4,يدخن
Data/train\178\03_02_0178_(16_11_17_01_10_06)_c.mp4,يزرع
Data/train\182\03_02_0182_(25_05_17_17_41_55)_c.mp4,يساعد
Data/train\186\03_02_0186_(16_11_17_01_27_12)_c.mp4,ينادي
Data/train\175\03_01_0175_(13_09_17_14_02_42)_c.mp4,يكره
Data/train\186\03_01_0186_(21_10_17_16_01_24)_c.mp4,ينادي
Data/train\187\03_01_0187_(13_09_17_14_38_03)_c.mp4,يتنامى
Data/train\181\03_01_0181_(21_10_17_15_53_08)_c.mp4,يفكر
Data/train\180\03_03_0180_(18_04_17_18_03_05)_c.mp4,يحصد
Data/train\180\03_02_0180_(01_05_17_16_20_47)_c.mp4,يحصد
Data/train\184\03_02_0184_(16_11_17_01_22_16)_c.mp4,يدعم
Data/train\174\03_03_0174_(18_04_17_17_39_01)_c.mp4,يحب
Data/train\183\03_02_0183_(25_05_17_17_43_58)_c.mp4,يدخن
Data/train\181\03_03_0181_(25_04_17_17_52_17)_c.mp4,يفكر
Data/train\187\03_02_0187_(16_11_17_01_29_48)_c.mp4,يتنامى
Data/train\183\03_03_0183_(18_12_17_15_20_47)_c.mp4,يدخن
Data/train\179\03_01_0179_(21_10_17_15_49_47)_c.mp4,يسقي
Data/train\182\03_02_0182_(16_11_17_01_17_21)_c.mp4,يساعد
Data/train\180\03_01_0180_(13_09_17_14_14_02)_c.mp4,يحصد
Data/train\173\03_02_0173_(01_05_17_16_00_21)_c.mp4,يمشي
Data/train\184\03_02_0184_(16_11_17_01_22_11)_c.mp4,يدعم
Data/train\171\03_01_0171_(21_10_17_15_31_06)_c.mp4,يبني
Data/train\189\03_03_0189_(18_12_17_15_32_27)_c.mp4,يقف
Data/train\186\03_02_0186_(25_05_17_17_52_53)_c.mp4,ينادي
Data/train\172\03_03_0172_(18_04_17_17_34_36)_c.mp4,يكسر
Data/train\182\03_02_0182_(16_11_17_01_17_55)_c.mp4,يساعد
Data/train\185\03_02_0185_(25_05_17_17_47_51)_c.mp4,يختار
Data/train\174\03_02_0174_(16_11_17_01_01_19)_c.mp4,يحب
Data/train\189\03_01_0189_(13_09_17_14_42_20)_c.mp4,يقف
Data/train\188\03_01_0188_(21_10_17_16_09_53)_c.mp4,يصبغ
Data/train\184\03_02_0184_(16_11_17_01_22_34)_c.mp4,يدعم
Data/train\175\03_02_0175_(01_05_17_16_05_37)_c.mp4,يكره
Data/train\178\03_02_0178_(01_05_17_16_13_08)_c.mp4,يزرع
Data/train\181\03_01_0181_(21_10_17_15_53_11)_c.mp4,يفكر
Data/train\190\03_02_0190_(16_11_17_01_34_04)_c.mp4,يستحم
Data/train\172\03_01_0172_(21_10_17_15_33_19)_c.mp4,يكسر
Data/train\190\03_01_0190_(13_09_17_14_44_38)_c.mp4,يستحم
Data/train\189\03_03_0189_(01_05_17_16_55_24)_c.mp4,يقف
Data/train\183\03_02_0183_(16_11_17_01_18_53)_c.mp4,يدخن
Data/train\174\03_01_0174_(21_10_17_15_39_37)_c.mp4,يحب
Data/train\188\03_03_0188_(18_12_17_15_30_26)_c.mp4,يصبغ
Data/train\184\03_02_0184_(16_11_17_01_23_45)_c.mp4,يدعم
Data/train\181\03_03_0181_(25_04_17_17_52_14)_c.mp4,يفكر
Data/train\181\03_02_0181_(16_11_17_01_15_54)_c.mp4,يفكر
Data/train\177\03_01_0177_(13_09_17_14_06_57)_c.mp4,يحرث
Data/train\189\03_02_0189_(25_05_17_17_59_29)_c.mp4,يقف
Data/train\186\03_03_0186_(18_12_17_15_27_13)_c.mp4,ينادي
Data/train\180\03_01_0180_(13_09_17_14_13_37)_c.mp4,يحصد
Data/train\187\03_01_0187_(21_10_17_16_07_41)_c.mp4,يتنامى
Data/train\177\03_03_0177_(19_04_17_16_37_25)_c.mp4,يحرث
Data/train\183\03_02_0183_(25_05_17_17_45_09)_c.mp4,يدخن
Data/train\173\03_03_0173_(18_04_17_17_37_27)_c.mp4,يمشي
Data/train\182\03_02_0182_(25_05_17_17_42_52)_c.mp4,يساعد
Data/train\179\03_01_0179_(13_09_17_14_11_50)_c.mp4,يسقي
Data/train\187\03_01_0187_(13_09_17_14_38_16)_c.mp4,يتنامى
Data/train\185\03_02_0185_(25_05_17_17_48_37)_c.mp4,يختار
Data/train\174\03_03_0174_(19_04_17_16_33_22)_c.mp4,يحب
Data/train\188\03_01_0188_(21_10_17_16_08_47)_c.mp4,يصبغ
Data/train\174\03_02_0174_(01_05_17_16_01_49)_c.mp4,يحب
Data/train\186\03_03_0186_(25_04_17_18_09_18)_c.mp4,ينادي
Data/train\178\03_02_0178_(01_05_17_16_16_07)_c.mp4,يزرع
Data/train\176\03_01_0176_(13_09_17_14_05_32)_c.mp4,يشوي
Data/train\177\03_02_0177_(01_05_17_16_11_36)_c.mp4,يحرث
Data/train\174\03_01_0174_(21_10_17_15_39_09)_c.mp4,يحب
Data/train\177\03_01_0177_(13_09_17_14_07_09)_c.mp4,يحرث
Data/train\185\03_01_0185_(21_10_17_15_59_57)_c.mp4,يختار
Data/train\185\03_03_0185_(25_04_17_18_06_43)_c.mp4,يختار
Data/train\190\03_01_0190_(13_09_17_14_44_45)_c.mp4,يستحم
Data/train\172\03_03_0172_(18_04_17_17_34_32)_c.mp4,يكسر
Data/train\189\03_01_0189_(21_10_17_16_10_56)_c.mp4,يقف
Data/train\181\03_02_0181_(25_05_17_17_39_15)_c.mp4,يفكر
Data/train\179\03_01_0179_(21_10_17_15_50_17)_c.mp4,يسقي
Data/train\179\03_02_0179_(16_11_17_01_12_14)_c.mp4,يسقي
Data/train\188\03_01_0188_(21_10_17_16_08_56)_c.mp4,يصبغ
Data/train\179\03_02_0179_(01_05_17_16_17_23)_c.mp4,يسقي
Data/train\179\03_01_0179_(13_09_17_14_11_58)_c.mp4,يسقي
Data/train\183\03_02_0183_(16_11_17_01_19_21)_c.mp4,يدخن
Data/train\180\03_01_0180_(13_09_17_14_14_41)_c.mp4,يحصد
Data/train\187\03_03_0187_(18_12_17_15_28_39)_c.mp4,يتنامى
Data/train\172\03_02_0172_(01_05_17_15_57_41)_c.mp4,يكسر
Data/train\172\03_03_0172_(19_04_17_16_28_48)_c.mp4,يكسر
Data/train\185\03_01_0185_(21_10_17_16_00_10)_c.mp4,يختار
Data/train\175\03_02_0175_(16_11_17_01_04_40)_c.mp4,يكره
Data/train\186\03_01_0186_(21_10_17_16_01_21)_c.mp4,ينادي
Data/train\171\03_02_0171_(01_05_17_15_53_28)_c.mp4,يبني
Data/train\182\03_01_0182_(13_09_17_14_18_34)_c.mp4,يساعد
Data/train\181\03_03_0181_(18_12_17_15_17_28)_c.mp4,يفكر
Data/train\184\03_01_0184_(13_09_17_14_26_03)_c.mp4,يدعم
Data/train\184\03_03_0184_(18_12_17_15_22_51)_c.mp4,يدعم
Data/train\173\03_01_0173_(21_10_17_15_38_24)_c.mp4,يمشي
Data/train\175\03_03_0175_(18_04_17_17_43_11)_c.mp4,يكره
Data/train\173\03_03_0173_(19_04_17_16_30_20)_c.mp4,يمشي
Data/train\172\03_01_0172_(21_10_17_15_33_41)_c.mp4,يكسر
Data/train\187\03_03_0187_(25_04_17_18_11_51)_c.mp4,يتنامى
Data/train\185\03_02_0185_(16_11_17_01_25_45)_c.mp4,يختار
Data/train\179\03_03_0179_(18_04_17_17_58_19)_c.mp4,يسقي
Data/train\183\03_02_0183_(16_11_17_01_18_31)_c.mp4,يدخن
Data/train\172\03_01_0172_(21_10_17_15_33_38)_c.mp4,يكسر
Data/train\174\03_01_0174_(21_10_17_15_39_56)_c.mp4,يحب
Data/train\174\03_03_0174_(18_04_17_17_39_32)_c.mp4,يحب
Data/train\183\03_03_0183_(18_12_17_15_19_57)_c.mp4,يدخن
Data/train\177\03_03_0177_(18_04_17_17_50_17)_c.mp4,يحرث
Data/train\185\03_01_0185_(21_10_17_16_00_29)_c.mp4,يختار
Data/train\189\03_02_0189_(16_11_17_01_32_32)_c.mp4,يقف
Data/train\173\03_01_0173_(13_09_17_13_59_31)_c.mp4,يمشي
Data/train\181\03_02_0181_(25_05_17_17_39_29)_c.mp4,يفكر
Data/train\173\03_02_0173_(16_11_17_00_59_02)_c.mp4,يمشي
Data/train\186\03_02_0186_(25_05_17_17_52_22)_c.mp4,ينادي
Data/train\171\03_02_0171_(16_11_17_00_55_30)_c.mp4,يبني
Data/train\177\03_01_0177_(13_09_17_14_06_41)_c.mp4,يحرث
Data/train\178\03_01_0178_(13_09_17_14_08_47)_c.mp4,يزرع
Data/train\188\03_01_0188_(13_09_17_14_39_54)_c.mp4,يصبغ
Data/train\190\03_02_0190_(25_05_17_18_02_59)_c.mp4,يستحم
Data/train\190\03_03_0190_(18_12_17_15_35_47)_c.mp4,يستحم
Data/train\187\03_03_0187_(25_04_17_18_11_24)_c.mp4,يتنامى
Data/train\175\03_03_0175_(18_04_17_17_43_00)_c.mp4,يكره
Data/train\183\03_03_0183_(25_04_17_17_59_46)_c.mp4,يدخن
Data/train\172\03_01_0172_(13_09_17_13_55_47)_c.mp4,يكسر
